feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy,cycles_per_frame,latency_us_at_100mhz
timing_only,7,2,all,7,14,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,7,3,sqrt,36,43,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,id_rate,bus_rate",9,0.9982503960421566,0.99318174840847,0.9864558442782456,1.0,0.0,0,2443,0.9975872223765967,7,0.07
timing_only,7,3,all,7,14,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,7,4,sqrt,56,63,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,id_rate,bus_rate",10,1.0,1.0,1.0,1.0,0.0,0,0,1.0,8,0.08
timing_only,7,4,all,7,14,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,7,5,sqrt,63,70,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,id_rate,bus_rate",10,0.9999971353189393,0.9999889117430185,0.9999778237319332,1.0,0.0,0,4,0.9999957029784089,9,0.09
timing_only,7,5,all,7,14,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,7,6,sqrt,82,89,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,id_rate,bus_rate",10,0.9999964191486741,0.9999861396403514,0.9999722796649166,1.0,0.0,0,5,0.9999949868081437,10,0.1
timing_only,7,6,all,7,14,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,7,8,sqrt,81,88,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,id_rate,bus_rate",10,0.9999971353189393,0.9999889117430185,0.9999778237319332,1.0,0.0,0,4,0.9999957029784089,12,0.12
timing_only,7,8,all,7,14,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,9,2,sqrt,24,33,2,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,id_rate",7,0.9961283835464179,0.9850359568849546,0.9864558442782456,0.9836201511390712,0.0024367918561972067,2963,2443,0.9942040340438697,6,0.06
timing_only,9,2,all,9,18,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,9,3,sqrt,40,49,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,id_rate,bus_rate",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,0.9999992838297348,7,0.07
timing_only,9,3,all,9,18,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,9,4,sqrt,61,70,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,id_rate,bus_rate",10,1.0,1.0,1.0,1.0,0.0,0,0,1.0,8,0.08
timing_only,9,4,all,9,18,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,9,5,sqrt,69,78,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,id_rate,bus_rate",10,0.9999971353189393,0.9999889117430185,0.9999778237319332,1.0,0.0,0,4,0.9999964191486741,9,0.09
timing_only,9,5,all,9,18,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,9,6,sqrt,89,98,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,id_rate,bus_rate",10,0.9999964191486741,0.9999861396403514,0.9999722796649166,1.0,0.0,0,5,0.9999957029784089,10,0.1
timing_only,9,6,all,9,18,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing_only,9,8,sqrt,88,97,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,id_rate,bus_rate",10,0.9999971353189393,0.9999889117430185,0.9999778237319332,1.0,0.0,0,4,0.9999964191486741,12,0.12
timing_only,9,8,all,9,18,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
paper,1,2,sqrt,3,4,2,"dt_id_dev,hd_dev",2,0.9213487491370148,0.7443467248948958,0.886363258359067,0.6415544078876088,0.07346150271846624,89325,20497,0.9239684999670562,6,0.06
paper,1,2,all,3,4,2,dt_id_dev,1,0.9843309107680497,0.9359572169972865,0.886363258359067,0.9914298825484628,0.0011365664344463516,1382,20497,0.9780780281827323,6,0.06
paper,1,3,sqrt,5,6,3,"dt_id_dev,hd_dev",2,0.9846352831307527,0.9371230283172043,0.886363258359067,0.9940497286004738,0.0007870434716101001,957,20497,0.9784260869316115,7,0.07
paper,1,3,all,6,7,3,"dt_id_dev,hd_dev",2,0.9881652863678423,0.9525807275450734,0.9202097874959112,0.9873121810200222,0.0017541940699522922,2133,14392,0.9840537528754236,7,0.07
paper,1,4,sqrt,8,9,4,"dt_id_dev,hd_dev",2,0.988343612763873,0.9532618496545466,0.9202097874959112,0.9887766955589313,0.0015494147340788177,1884,14392,0.9842363762930454,8,0.08
paper,1,4,all,11,12,4,"dt_id_dev,hd_dev",2,0.9885964208674827,0.9543869901371856,0.9235473158399539,0.9873574527608525,0.0017541940699522922,2133,13790,0.9846911444114369,8,0.08
paper,1,5,sqrt,16,17,5,"dt_id_dev,hd_dev",2,0.9885964208674827,0.9543869901371856,0.9235473158399539,0.9873574527608525,0.0017541940699522922,2133,13790,0.9846911444114369,9,0.09
paper,1,5,all,18,19,5,"dt_id_dev,hd_dev",2,0.9886479851265759,0.9546140432757144,0.924190427613889,0.9871088846254056,0.0017903799766929864,2177,13674,0.9847914082485626,9,0.09
paper,1,6,sqrt,19,20,6,"dt_id_dev,hd_dev",2,0.9886515659779018,0.9546292690748334,0.9242236920159891,0.9871034976877483,0.0017912023836643659,2178,13668,0.9848157580375789,10,0.1
paper,1,6,all,26,27,6,"dt_id_dev,hd_dev",2,0.9887102919396469,0.9548503508520693,0.9241571632117889,0.9876523459950112,0.001713896128354701,2084,13680,0.9848350946347388,10,0.1
paper,1,8,sqrt,30,31,8,"dt_id_dev,hd_dev",2,0.9900695831029652,0.9607509015460737,0.9408725252670854,0.9814873719702271,0.0026325247153855076,3201,10665,0.9872829646011362,12,0.12
paper,1,8,all,38,39,8,"dt_id_dev,hd_dev",2,0.9901404839592184,0.9610135845017175,0.9407062032565849,0.9822170767004341,0.0025264342160775627,3072,10695,0.9872987203469702,12,0.12
paper,3,2,sqrt,7,10,2,"dt_id_dev,hd_dev",2,0.9213487491370148,0.7443467248948958,0.886363258359067,0.6415544078876088,0.07346150271846624,89325,20497,0.9239684999670562,6,0.06
paper,3,2,all,9,12,2,dt_id_dev,1,0.9843309107680497,0.9359572169972865,0.886363258359067,0.9914298825484628,0.0011365664344463516,1382,20497,0.9780780281827323,6,0.06
paper,3,3,sqrt,13,16,3,"dt_id_dev,hd_dev",2,0.9846352831307527,0.9371230283172043,0.886363258359067,0.9940497286004738,0.0007870434716101001,957,20497,0.9784260869316115,7,0.07
paper,3,3,all,18,21,3,"dt_id_dev,hd_dev",2,0.9881652863678423,0.9525807275450734,0.9202097874959112,0.9873121810200222,0.0017541940699522922,2133,14392,0.9840537528754236,7,0.07
paper,3,4,sqrt,22,25,4,"dt_id_dev,hd_dev",2,0.988343612763873,0.9532618496545466,0.9202097874959112,0.9887766955589313,0.0015494147340788177,1884,14392,0.9842363762930454,8,0.08
paper,3,4,all,33,36,4,"dt_id_dev,hd_dev",2,0.9885964208674827,0.9543869901371856,0.9235473158399539,0.9873574527608525,0.0017541940699522922,2133,13790,0.9846911444114369,8,0.08
paper,3,5,sqrt,40,43,5,"dt_id_dev,hd_dev",2,0.988628648529416,0.9545100331190337,0.9235473158399539,0.9876208714005371,0.0017171857562402184,2088,13790,0.984722655903105,9,0.09
paper,3,5,all,54,57,5,"dt_id_dev,hd_dev",2,0.9886479851265759,0.9546140432757144,0.924190427613889,0.9871088846254056,0.0017903799766929864,2177,13674,0.9847914082485626,9,0.09
paper,3,6,sqrt,54,57,6,"dt_id_dev,hd_dev",2,0.9886515659779018,0.9546292690748334,0.9242236920159891,0.9871034976877483,0.0017912023836643659,2178,13668,0.9848157580375789,10,0.1
paper,3,6,all,77,80,6,"dt_id_dev,hd_dev",2,0.9887102919396469,0.9548503508520693,0.9241571632117889,0.9876523459950112,0.001713896128354701,2084,13680,0.9848350946347388,10,0.1
paper,3,8,sqrt,90,93,8,"dt_id_dev,hd_dev",2,0.9900695831029652,0.9607509015460737,0.9408725252670854,0.9814873719702271,0.0026325247153855076,3201,10665,0.9872829646011362,12,0.12
paper,3,8,all,115,118,8,"dt_id_dev,hd_dev",2,0.9901404839592184,0.9610135845017175,0.9407062032565849,0.9822170767004341,0.0025264342160775627,3072,10695,0.9872987203469702,12,0.12
paper,5,2,sqrt,12,17,2,"dt_id_dev,hd_dev",2,0.9213487491370148,0.7443467248948958,0.886363258359067,0.6415544078876088,0.07346150271846624,89325,20497,0.9239684999670562,6,0.06
paper,5,2,all,15,20,2,dt_id_dev,1,0.9843309107680497,0.9359572169972865,0.886363258359067,0.9914298825484628,0.0011365664344463516,1382,20497,0.9780780281827323,6,0.06
paper,5,3,sqrt,23,28,3,"dt_id_dev,hd_dev",2,0.9846352831307527,0.9371230283172043,0.886363258359067,0.9940497286004738,0.0007870434716101001,957,20497,0.9784260869316115,7,0.07
paper,5,3,all,30,35,3,"dt_id_dev,hd_dev",2,0.9881652863678423,0.9525807275450734,0.9202097874959112,0.9873121810200222,0.0017541940699522922,2133,14392,0.9840537528754236,7,0.07
paper,5,4,sqrt,37,42,4,"dt_id_dev,hd_dev",2,0.988343612763873,0.9532618496545466,0.9202097874959112,0.9887766955589313,0.0015494147340788177,1884,14392,0.9842363762930454,8,0.08
paper,5,4,all,55,60,4,"dt_id_dev,hd_dev",2,0.9884381472388771,0.9537256790378243,0.9223442532973338,0.9873177332154324,0.00175748369783781,2137,14007,0.9844906167371855,8,0.08
paper,5,5,sqrt,67,72,5,"dt_id_dev,hd_dev",2,0.9884889953277052,0.9539198119293014,0.9223442532973338,0.9877339222950509,0.0016990928028698714,2066,14007,0.9845206958883232,9,0.09
paper,5,5,all,90,95,5,"dt_id_dev,hd_dev",2,0.9884832659655837,0.9539269925766332,0.9229541006691689,0.9870508715759516,0.0017961368254926424,2184,13897,0.9845722601474165,9,0.09
paper,5,6,sqrt,93,98,6,"dt_id_dev,hd_dev",2,0.9884975893708874,0.9539832390229926,0.922987365071269,0.9871332685055617,0.0017846231278933306,2170,13891,0.9845958937661675,10,0.1
paper,5,6,all,129,134,6,"dt_id_dev,hd_dev",2,0.9885455727786547,0.9541632515031496,0.9229208362670688,0.9875949952836065,0.0017196529771543567,2091,13903,0.9846159465335926,10,0.1
