feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy
paper,1,5,all,31,32,5,"dt_id_dev,hd_dev",2,0.9836150845253576,0.9045695531431457,0.940925631823127,0.8709184559291626,0.012544812947074883,11152,4724,0.986855739261461
paper,3,2,sqrt,9,12,2,"dt_id_dev,hd_dev",2,0.9282948376576465,0.3028776689677316,0.1887403553966011,0.7662588211402752,0.005179009936184789,4604,64874,0.9211499164034925
paper,3,2,all,9,12,2,dt_id_dev,1,0.9830794476438169,0.9042577420127189,0.9681868770867983,0.8482481319981594,0.015580900657275305,13851,2544,0.9843044976985159
paper,3,3,sqrt,21,24,3,"dt_id_dev,hd_dev",2,0.9527586847482816,0.629756050213537,0.48681331049057736,0.8915378449559144,0.0053274958857018155,4736,41038,0.948081408549549
paper,3,3,all,21,24,3,"dt_id_dev,hd_dev",2,0.9823085020744319,0.8957489509213648,0.9209298835769755,0.8719084095994696,0.012170223392611474,10819,6323,0.985534708031457
paper,3,4,sqrt,45,48,4,"dt_id_dev,hd_dev",2,0.9735700868990856,0.8290556642124305,0.7765703352632961,0.8891497952521406,0.00870892591788502,7742,17867,0.9703376886081697
paper,3,4,all,45,48,4,"dt_id_dev,hd_dev",2,0.9841734266311639,0.9087870190277356,0.9553190691160104,0.8665774309179183,0.01323099801681266,11762,3573,0.9863046215451937
paper,3,5,sqrt,91,94,5,"dt_id_dev,hd_dev",2,0.9839690796127727,0.9067865265634095,0.9448022309202546,0.8717117408159498,0.012507691459695627,11119,4414,0.9862138006481309
paper,3,5,all,92,95,5,"dt_id_dev,hd_dev",2,0.9837306747579829,0.9048286021323609,0.9370990533595108,0.8747067268970831,0.012074607440270965,10734,5030,0.9866255908518587
paper,5,2,sqrt,15,20,2,"dt_id_dev,hd_dev",2,0.9839701116684212,0.9068947740705662,0.9459527054910151,0.8709343158137125,0.01261005677337782,11210,4322,0.9857854975540281
paper,5,2,all,15,20,2,dt_id_dev,1,0.9830794476438169,0.9042577420127189,0.9681868770867983,0.8482481319981594,0.015580900657275305,13851,2544,0.9843044976985159
paper,5,3,sqrt,35,40,3,"dt_id_dev,hd_dev",2,0.9823539125229632,0.8959456663299212,0.9205047081921293,0.8726630389681213,0.012082481695169595,10741,6357,0.9858174912791298
paper,5,3,all,35,40,3,"dt_id_dev,hd_dev",2,0.9823126302970256,0.8957758127881095,0.9209799042104868,0.8719144754756295,0.012170223392611474,10819,6319,0.9855367721427539
paper,5,4,sqrt,74,79,4,"dt_id_dev,hd_dev",2,0.9835397444630214,0.9040413460323572,0.9395000437680543,0.8711618738404453,0.012498692311240048,11111,4838,0.9860321588540054
paper,5,4,all,74,79,4,"dt_id_dev,hd_dev",2,0.9841734266311639,0.9087870190277356,0.9553190691160104,0.8665774309179183,0.01323099801681266,11762,3573,0.9863066856564906
paper,5,5,sqrt,152,157,5,"dt_id_dev,hd_dev",2,0.9841878754102421,0.9081513365746042,0.9471782110120425,0.87221326577614,0.012482943801442789,11097,4224,0.9861539414205214
paper,5,5,all,149,154,5,"dt_id_dev,hd_dev",2,0.9837265465353892,0.9050920910075839,0.9402128377955907,0.8725006672623675,0.012359205510178599,10987,4781,0.9867834953660701
paper,7,2,sqrt,21,28,2,"dt_id_dev,hd_dev",2,0.9527287551344769,0.6294165715996343,0.48641314542248676,0.8915195966078386,0.005324121205030974,4733,41070,0.9480690238817677
paper,7,2,all,21,28,2,dt_id_dev,1,0.9830794476438169,0.9042577420127189,0.9681868770867983,0.8482481319981594,0.015580900657275305,13851,2544,0.9843044976985159
paper,7,3,sqrt,49,56,3,"dt_id_dev,hd_dev",2,0.9823755856915805,0.8958967074902919,0.9188915427613891,0.8740246455419165,0.011913747661627519,10591,6486,0.9856802278778872
paper,7,3,all,49,56,3,"dt_id_dev,hd_dev",2,0.9823126302970256,0.8957758127881095,0.9209799042104868,0.8719144754756295,0.012170223392611474,10819,6319,0.9855367721427539
paper,7,4,sqrt,104,111,4,"dt_id_dev,hd_dev",2,0.984260119305633,0.9089813140446051,0.952317831105331,0.869417298383414,0.012866532504361775,11438,3813,0.9859929407393647
paper,7,4,all,104,111,4,"dt_id_dev,hd_dev",2,0.9841734266311639,0.9087870190277356,0.9553190691160104,0.8665774309179183,0.01323099801681266,11762,3573,0.9863066856564906
paper,7,5,sqrt,211,218,5,"dt_id_dev,hd_dev",2,0.9843561004809379,0.9094655613159089,0.9520802330961522,0.8705022810166817,0.01274054442598369,11326,3832,0.9860899539703181
paper,7,5,all,210,217,5,"dt_id_dev,hd_dev",2,0.9837275785910377,0.905098681240633,0.9402253429539685,0.8725021468192262,0.012359205510178599,10987,4780,0.9867834953660701
paper,9,2,sqrt,27,36,2,"dt_id_dev,hd_dev",2,0.9839639193345305,0.906855457510071,0.945877674540748,0.8709253992561803,0.01261005677337782,11210,4328,0.9857824013870828
paper,9,2,all,27,36,2,dt_id_dev,1,0.9830794476438169,0.9042577420127189,0.9681868770867983,0.8482481319981594,0.015580900657275305,13851,2544,0.9843044976985159
paper,9,3,sqrt,63,72,3,"dt_id_dev,hd_dev",2,0.9823755856915805,0.8958967074902919,0.9188915427613891,0.8740246455419165,0.011913747661627519,10591,6486,0.9856802278778872
paper,9,3,all,63,72,3,"dt_id_dev,hd_dev",2,0.9823126302970256,0.8957758127881095,0.9209799042104868,0.8719144754756295,0.012170223392611474,10819,6319,0.9855367721427539
paper,9,4,sqrt,134,143,4,"dt_id_dev,hd_dev",2,0.9835686420211778,0.9042743162236425,0.9403754048545024,0.8708425977394849,0.01254593784063183,11153,4768,0.9860538320226226
paper,9,4,all,134,143,4,"dt_id_dev,hd_dev",2,0.9841734266311639,0.9087870190277356,0.9553190691160104,0.8665774309179183,0.01323099801681266,11762,3573,0.9863066856564906
paper,9,5,sqrt,272,281,5,"dt_id_dev,hd_dev",2,0.9840413235081635,0.9073222772959658,0.9465404479347731,0.8712246777163904,0.012585309115124982,11188,4275,0.9860424794104898
paper,9,5,all,271,280,5,"dt_id_dev,hd_dev",2,0.983728610646686,0.9051224032929736,0.9404254254880138,0.872373992227829,0.012376078913532807,11002,4764,0.9868123929242265
