feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy
no_payload,1,2,sqrt,3,4,2,"burst,bus_rate",2,0.9557678255145539,0.9224333565312113,0.9028219943198813,0.9429156446888599,0.02246780661324841,18456,32814,0.9502774108778193
no_payload,1,2,all,3,4,2,"dt_ratio_q6,bus_rate",2,0.9632433822127475,0.9374295982012386,0.9451681972582618,0.9298166901679272,0.029326477097591796,24090,18515,0.9566874958481112
no_payload,1,3,sqrt,7,8,3,"dt_id,dt_id_dev,burst,id_rate,bus_rate",5,0.9653398164627891,0.9402265365908817,0.9357477292851876,0.9447484242880891,0.022495806155516763,18479,21696,0.959596621893848
no_payload,1,3,all,7,8,3,"dt_id,dt_id_dev,dt_ratio_q6,bus_rate",4,0.9592825881214138,0.9255031332375736,0.8682082157378972,0.9908943726952859,0.003279598559606156,2694,44502,0.9572154866962698
no_payload,1,4,sqrt,13,14,4,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,id_rate,bus_rate",7,0.9653398164627891,0.9402265365908817,0.9357477292851876,0.9447484242880891,0.022495806155516763,18479,21696,0.959596621893848
no_payload,1,4,all,14,15,4,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,id_rate,bus_rate",6,0.965560675379666,0.9412071395643741,0.9462787522692341,0.9361896000093757,0.026513131785323857,21779,18140,0.9634909857640899
no_payload,1,5,sqrt,22,23,5,"dt_id,dt_id_dev,dt_bus,burst,dlc,id_rate,bus_rate",7,0.9650300963410752,0.9377516639382277,0.9041872366133699,0.9739040564981483,0.009959315447712681,8181,32353,0.9611426343119857
no_payload,1,5,all,26,27,5,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,dlc,id_rate,bus_rate",7,0.968267059841551,0.943386701061711,0.9075810927269012,0.9821335290366207,0.006786845571568048,5575,31207,0.9668107713583944
no_payload,1,6,sqrt,35,36,6,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,dlc,id_rate,bus_rate",8,0.967543229250693,0.9436052411853677,0.9320962244091107,0.9554020253041599,0.017885620652462377,14692,22929,0.9647013961561921
no_payload,1,6,all,48,49,6,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,dlc,id_rate,bus_rate",7,0.9709268568756573,0.9495083283764123,0.9383716005911115,0.9609125756638403,0.015690700012904138,12889,20810,0.9691875929052524
no_payload,1,8,sqrt,95,96,8,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,dlc,id_rate,bus_rate",8,0.9678926349590332,0.9430986294500064,0.9133619017440155,0.9748368233899645,0.009691493739058874,7961,29255,0.9677580490565615
no_payload,1,8,all,142,143,8,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,dlc,id_rate,bus_rate",7,0.9700063238119558,0.9474088663393146,0.9273815482025297,0.9683202790412904,0.012471970023446573,10245,24521,0.9715704535631187
no_payload,3,2,sqrt,9,12,2,"dt_id,dt_ratio_q6,dt_bus,burst,id_rate,bus_rate",6,0.8821674541954998,0.7465159655911584,0.5956039790445673,0.9998558261163533,3.530377068618356e-05,29,136552,0.8768323309846943
no_payload,3,2,all,9,12,2,"dt_id,dt_ratio_q6,bus_rate",3,0.9632442449428916,0.9374300560139345,0.9451533898581155,0.9298319217557752,0.029319172869173966,24084,18520,0.9566883585782552
no_payload,3,3,sqrt,21,24,3,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,id_rate,bus_rate",7,0.967387937824764,0.9426639910570327,0.92026215021219,0.9661836950438406,0.013240131378721808,10876,26925,0.9625135125108811
no_payload,3,3,all,21,24,3,"dt_id,dt_id_dev,dt_ratio_q6,bus_rate",4,0.9592791372008376,0.9254949377598601,0.8681786009376046,0.9909141611316736,0.003272294331188325,2688,44512,0.9572137612359817
