feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy,cycles_per_frame,latency_us_at_100mhz
timing,5,8,all,8,13,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,7,2,sqrt,15,22,2,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate",7,1.0,1.0,1.0,1.0,0.0,0,0,1.0,6,0.06
timing,7,2,all,10,17,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,7,3,sqrt,23,30,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate",8,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,7,0.07
timing,7,3,all,10,17,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,7,4,sqrt,34,41,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9999993937913321,0.9999966185028759,0.9999932370286209,1.0,0.0,0,1,0.9999993937913321,8,0.08
timing,7,4,all,10,17,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,7,5,sqrt,34,41,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,1.0,1.0,1.0,1.0,0.0,0,0,1.0,9,0.09
timing,7,5,all,10,17,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,7,6,sqrt,40,47,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,10,0.1
