feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy
timing,1,2,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999904899212185,0.9999732478691927,0.9999464971697003,1.0,0.0,0,5,0.9999904899212185
timing,1,2,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0
timing,1,3,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999904899212185,0.9999732478691927,0.9999464971697003,1.0,0.0,0,5,0.9999904899212185
timing,1,3,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0
timing,1,4,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999904899212185,0.9999732478691927,0.9999464971697003,1.0,0.0,0,5,0.9999904899212185
timing,1,4,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0
timing,1,5,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999904899212185,0.9999732478691927,0.9999464971697003,1.0,0.0,0,5,0.9999904899212185
timing,1,5,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0
timing,1,6,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999904899212185,0.9999732478691927,0.9999464971697003,1.0,0.0,0,5,0.9999904899212185
timing,1,6,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0
timing,1,8,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999904899212185,0.9999732478691927,0.9999464971697003,1.0,0.0,0,5,0.9999904899212185
timing,1,8,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0
timing,3,2,sqrt,6,9,2,"dt_ratio_q6,pl_popcount,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,1.0
timing,3,2,all,3,6,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0
timing,3,3,sqrt,6,9,2,"dt_ratio_q6,pl_popcount,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,1.0
timing,3,3,all,3,6,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0
