feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy
timing,5,2,all,15,20,2,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,id_rate",5,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,5,3,sqrt,32,37,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",12,0.9953838077594634,0.9871806383799115,0.9999464971697003,0.9747366225096484,0.005602525994378969,2422,5,0.9950680731439179
timing,5,3,all,30,35,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,id_rate,pl_track_dev",7,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,5,4,sqrt,56,61,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_popcount,id_rate,pl_track_dev",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,5,4,all,51,56,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_popcount,id_rate,bus_rate,pl_track_dev",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,5,5,sqrt,91,96,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",12,0.9953819057437072,0.9871754241406266,0.9999464971697003,0.9747264553410312,0.0056048391760446905,2423,5,0.9950642691124053
timing,5,5,all,83,88,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",11,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,5,6,sqrt,134,139,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",12,0.9953685916334131,0.9871378390513166,0.9998608926412207,0.9747345141974922,0.005602525994378969,2422,13,0.9950547590336238
timing,5,6,all,139,144,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",11,0.9940124543991723,0.9833059341358646,0.9920601799835211,0.9747048372005004,0.005565515087727415,2406,742,0.9951879001365648
timing,5,8,sqrt,274,279,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,pl_track_dev",11,0.9953838077594634,0.9871806383799115,0.9999464971697003,0.9747366225096484,0.005602525994378969,2422,5,0.9950680731439179
timing,5,8,all,333,338,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",11,0.9925555103298476,0.97915845749156,0.9838314446834238,0.9745296518098469,0.005558575542730248,2403,1511,0.9952240384359344
timing,7,2,sqrt,21,28,2,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,id_rate,pl_track_dev",7,0.9953838077594634,0.9871806383799115,0.9999464971697003,0.9747366225096484,0.005602525994378969,2422,5,0.9950680731439179
timing,7,2,all,21,28,2,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,id_rate",5,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,7,3,sqrt,43,50,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",12,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,7,3,all,42,49,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,id_rate,pl_track_dev",7,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,7,4,sqrt,75,82,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_popcount,id_rate,pl_track_dev",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,7,4,all,74,81,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_popcount,id_rate,bus_rate,pl_track_dev",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,7,5,sqrt,120,127,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",12,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,7,5,all,121,128,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",11,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,7,6,sqrt,180,187,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",12,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,7,6,all,205,212,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",11,0.9940200624621974,0.9833275000795444,0.992102982247761,0.9747059009051628,0.005565515087727415,2406,738,0.9951879001365648
timing,7,8,sqrt,383,390,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,pl_track_dev",11,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,7,8,all,501,508,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",11,0.9938089387132483,0.9827283387898694,0.9908938182829872,0.9746963349683178,0.00556088872439597,2404,851,0.9952164303729092
timing,9,2,sqrt,27,36,2,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,id_rate,bus_rate,pl_track_dev",8,0.9953838077594634,0.9871806383799115,0.9999464971697003,0.9747366225096484,0.005602525994378969,2422,5,0.9950680731439179
timing,9,2,all,27,36,2,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,id_rate",5,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,9,3,sqrt,56,65,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",12,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,9,3,all,54,63,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,id_rate,pl_track_dev",7,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,9,4,sqrt,95,104,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_popcount,id_rate,bus_rate,pl_track_dev",11,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,9,4,all,94,103,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_popcount,id_rate,bus_rate,pl_track_dev",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,9,5,sqrt,154,163,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",12,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,9,5,all,154,163,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",11,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
