feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy,cycles_per_frame,latency_us_at_100mhz
timing,7,4,all,7,14,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,7,5,sqrt,46,53,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,burst,pl_violation,pl_popcount,id_rate,bus_rate",9,0.9999971353189393,0.9999889117430185,0.9999778237319332,1.0,0.0,0,4,1.0,9,0.09
timing,7,5,all,7,14,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,7,6,sqrt,53,60,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9999985676594696,0.9999944559022464,0.9999889118659666,1.0,0.0,0,2,1.0,10,0.1
timing,7,6,all,7,14,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,7,8,sqrt,74,81,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,pl_violation,pl_popcount,id_rate,bus_rate",12,0.9999985676594696,0.9999944559022464,0.9999889118659666,1.0,0.0,0,2,1.0,12,0.12
timing,7,8,all,7,14,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,9,2,sqrt,23,32,2,"dt_id,dt_id_dev,dt_ratio_q6,hd,pl_violation,pl_popcount,id_rate",7,0.9999971353189393,0.9999889117430185,0.9999778237319332,1.0,0.0,0,4,1.0,6,0.06
timing,9,2,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,9,3,sqrt,37,46,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,1.0,1.0,1.0,1.0,0.0,0,0,1.0,7,0.07
timing,9,3,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,9,4,sqrt,52,61,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9999971353189393,0.9999889117430185,0.9999778237319332,1.0,0.0,0,4,1.0,8,0.08
timing,9,4,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,9,5,sqrt,68,77,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9999971353189393,0.9999889117430185,0.9999778237319332,1.0,0.0,0,4,1.0,9,0.09
timing,9,5,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,9,6,sqrt,80,89,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9999985676594696,0.9999944559022464,0.9999889118659666,1.0,0.0,0,2,1.0,10,0.1
timing,9,6,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,9,8,sqrt,118,127,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,pl_violation,pl_popcount,id_rate,bus_rate",12,0.9999971353189393,0.9999889117430185,0.9999778237319332,1.0,0.0,0,4,1.0,12,0.12
timing,9,8,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,1,2,sqrt,2,3,2,"dt_id,pl_popcount",2,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,6,0.06
no_rate,1,2,all,1,2,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,1,3,sqrt,2,3,2,"dt_id,pl_popcount",2,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,6,0.06
no_rate,1,3,all,1,2,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,1,4,sqrt,2,3,2,"dt_id,pl_popcount",2,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,6,0.06
no_rate,1,4,all,1,2,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,1,5,sqrt,2,3,2,"dt_id,pl_popcount",2,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,6,0.06
no_rate,1,5,all,1,2,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,1,6,sqrt,2,3,2,"dt_id,pl_popcount",2,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,6,0.06
no_rate,1,6,all,1,2,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,1,8,sqrt,2,3,2,"dt_id,pl_popcount",2,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,6,0.06
no_rate,1,8,all,1,2,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,3,2,sqrt,7,10,2,"dt_id,burst,dlc,pl_popcount",4,1.0,1.0,1.0,1.0,0.0,0,0,1.0,6,0.06
no_rate,3,2,all,3,6,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,3,3,sqrt,10,13,3,"dt_id,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_popcount",7,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,7,0.07
no_rate,3,3,all,3,6,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,3,4,sqrt,11,14,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_popcount",8,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,8,0.08
no_rate,3,4,all,3,6,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,3,5,sqrt,12,15,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,9,0.09
no_rate,3,5,all,3,6,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,3,6,sqrt,12,15,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,9,0.09
no_rate,3,6,all,3,6,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,3,8,sqrt,12,15,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,9,0.09
no_rate,3,8,all,3,6,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,5,2,sqrt,12,17,2,"dt_id,hd,burst,dlc,pl_violation,pl_popcount",6,1.0,1.0,1.0,1.0,0.0,0,0,1.0,6,0.06
no_rate,5,2,all,5,10,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,5,3,sqrt,18,23,3,"dt_id,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_popcount",7,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,7,0.07
no_rate,5,3,all,5,10,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,5,4,sqrt,19,24,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,8,0.08
no_rate,5,4,all,5,10,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,5,5,sqrt,20,25,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,9,0.09
no_rate,5,5,all,5,10,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,5,6,sqrt,20,25,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,9,0.09
no_rate,5,6,all,5,10,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,5,8,sqrt,20,25,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,9,0.09
no_rate,5,8,all,5,10,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,7,2,sqrt,17,24,2,"dt_id,dt_id_dev,hd,burst,dlc,pl_violation,pl_popcount",7,1.0,1.0,1.0,1.0,0.0,0,0,1.0,6,0.06
no_rate,7,2,all,7,14,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,7,3,sqrt,24,31,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,7,0.07
no_rate,7,3,all,7,14,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,7,4,sqrt,25,32,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,8,0.08
no_rate,7,4,all,7,14,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,7,5,sqrt,26,33,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,9,0.09
no_rate,7,5,all,7,14,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,7,6,sqrt,26,33,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,9,0.09
no_rate,7,6,all,7,14,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,7,8,sqrt,26,33,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,9,0.09
no_rate,7,8,all,7,14,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,9,2,sqrt,22,31,2,"dt_id,dt_id_dev,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",8,1.0,1.0,1.0,1.0,0.0,0,0,1.0,6,0.06
no_rate,9,2,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,9,3,sqrt,29,38,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,0.9999992838297348,0.9999972279588075,0.9999944559329833,1.0,0.0,0,1,1.0,7,0.07
no_rate,9,3,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,9,4,sqrt,30,39,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,1.0,1.0,1.0,1.0,0.0,0,0,1.0,8,0.08
no_rate,9,4,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,9,5,sqrt,31,40,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,1.0,1.0,1.0,1.0,0.0,0,0,1.0,9,0.09
no_rate,9,5,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,9,6,sqrt,31,40,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,1.0,1.0,1.0,1.0,0.0,0,0,1.0,9,0.09
no_rate,9,6,all,9,18,1,pl_violation,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
no_rate,9,8,sqrt,31,40,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_violation,pl_popcount",9,1.0,1.0,1.0,1.0,0.0,0,0,1.0,9,0.09
